analysis_fs_hz,fold,subject,scenario,channel,window,evaluation,reference_rmssd_ms,predicted_rmssd_ms,reference_hr_bpm,predicted_hr_bpm,accepted_fraction,successive_pairs_n,quality_gate,sqi,sqi_spectral,sqi_hr_agreement,sqi_coverage,sqi_prominence,sqi_concentration_raw,sqi_gate_065,sqi_gate_075,rmssd30,rmssd60,hr30,hr60,base30,base60,sqi30,sqi60,cross_fs_consistent,gate_sqi065_consistency,gate_sqi075_consistency
60.000000000,0,subject3,sleep,red,3,grouped_stable,24.214946549,,78.947368421,,0.326086957,13,False,0.605074734,0.442162465,0.489541660,0.940000000,0.548594813,0.348973109,False,False,,,,,False,False,0.506562178,0.605074734,False,False,False
60.000000000,0,subject3,sleep,ir,4,grouped_stable,28.826826317,31.804508412,72.727272727,72.761991780,1.000000000,70,True,0.925007831,1.000000000,1.000000000,1.000000000,0.700031324,0.781948623,True,True,32.573746329,31.804508412,72.727322888,72.76199178,True,True,0.924748673,0.925007831,True,True,True
60.000000000,0,subject3,sleep,red,4,grouped_stable,28.826826317,31.267894523,72.727272727,72.740187602,0.915492958,61,True,0.932895483,1.000000000,1.000000000,1.000000000,0.731581931,0.643274692,True,True,33.152697958,31.267894523,72.711953932,72.740187602,True,True,0.932704674,0.932895483,True,True,True
60.000000000,0,subject9,sit,ir,0,grouped_stable,36.693712969,59.410064714,71.005917160,70.780097848,1.000000000,69,True,0.883507528,1.000000000,0.942873144,0.985915493,0.605241475,0.841405796,True,True,39.031344458,59.410064714,71.031457781,70.780097848,True,True,0.864137689,0.883507528,False,False,False
60.000000000,0,subject9,sit,red,0,grouped_stable,36.693712969,42.182373078,71.005917160,71.121619068,1.000000000,70,True,0.900104871,1.000000000,0.942873144,0.972222222,0.685324118,0.820718130,True,True,42.59914119,42.182373078,71.099891765,71.121619068,True,True,0.866513396,0.900104871,True,True,True
60.000000000,0,subject9,sit,ir,1,grouped_stable,23.669409876,27.801157272,85.106382979,85.741308884,1.000000000,82,True,0.910633272,1.000000000,0.971832875,0.976744186,0.693956028,0.667754476,True,True,27.37098791,27.801157272,85.799858954,85.741308884,True,True,0.911154164,0.910633272,True,True,True
60.000000000,0,subject9,sit,red,1,grouped_stable,23.669409876,31.241634356,85.106382979,86.462414453,0.930232558,76,True,0.868237700,0.919571475,0.971832875,0.988505747,0.593040701,0.563807164,True,True,31.873804375,31.241634356,86.142472182,86.462414453,True,True,0.86866287,0.8682377,True,True,True
60.000000000,0,subject9,sit,ir,2,grouped_stable,31.199959936,36.148775676,82.191780822,82.425574042,1.000000000,78,True,0.894786844,1.000000000,0.981982474,0.975609756,0.621555147,0.662422463,True,True,36.069546799,36.148775676,82.414983892,82.425574042,True,True,0.889928736,0.894786844,True,True,True
60.000000000,0,subject9,sit,red,2,grouped_stable,31.199959936,36.235791426,82.191780822,82.359644364,1.000000000,78,True,0.894439916,1.000000000,0.981982474,0.975609756,0.620167435,0.652991809,True,True,36.238603442,36.235791426,82.395625392,82.359644364,True,True,0.891324193,0.894439916,True,True,True
60.000000000,0,subject9,sit,ir,3,grouped_stable,21.737775052,21.635003920,81.911262799,82.033370652,1.000000000,80,True,0.946994104,1.000000000,0.981982474,1.000000000,0.805993943,0.852538157,True,True,21.886292122,21.63500392,82.031130546,82.033370652,True,True,0.947595072,0.946994104,True,True,True
