gate,subjects_n,accepted_n,coverage,rmssd_n,rmssd_mae,rmssd_rmse,rmssd_bias,rmssd_pearson,rmssd_ccc,hr_n,hr_mae,hr_rmse,hr_bias,hr_pearson,hr_ccc
frozen_gate_065,13,12,0.923076923,12,3.111464360,4.088477673,-1.168871042,0.948205018,0.943008856,12,0.213138652,0.309525750,0.040461518,0.999855702,0.999850084
frozen_gate_075,13,11,0.846153846,11,3.308460269,4.260769225,-1.189267557,0.940059569,0.934077596,11,0.201970308,0.307006768,0.074684423,0.999875491,0.999860183
